,name,type,count,amount,year,quarter,state,quarter_year
139,Others,TOTAL,691914,400412189.8,2021,4,tamil-nadu,Q4 2021
140,Merchant payments,TOTAL,139788772,81798208976,2022,1,tamil-nadu,Q1 2022
141,Peer-to-peer payments,TOTAL,119383791,4.10E+11,2022,1,tamil-nadu,Q1 2022
142,Recharge & bill payments,TOTAL,34579431,20705079141,2022,1,tamil-nadu,Q1 2022
143,Financial Services,TOTAL,241201,298216135.4,2022,1,tamil-nadu,Q1 2022
144,Others,TOTAL,579955,355987089.8,2022,1,tamil-nadu,Q1 2022
145,Merchant payments,TOTAL,179245529,1.01E+11,2022,2,tamil-nadu,Q2 2022
146,Peer-to-peer payments,TOTAL,136341691,4.64E+11,2022,2,tamil-nadu,Q2 2022
147,Recharge & bill payments,TOTAL,38257271,24477663684,2022,2,tamil-nadu,Q2 2022
148,Financial Services,TOTAL,202498,233054909,2022,2,tamil-nadu,Q2 2022
149,Others,TOTAL,459948,277767177,2022,2,tamil-nadu,Q2 2022
150,Merchant payments,TOTAL,202149276,1.10E+11,2022,3,tamil-nadu,Q3 2022
151,Peer-to-peer payments,TOTAL,148805657,4.94E+11,2022,3,tamil-nadu,Q3 2022
152,Recharge & bill payments,TOTAL,41919063,27694221703,2022,3,tamil-nadu,Q3 2022
153,Financial Services,TOTAL,217741,238069828.2,2022,3,tamil-nadu,Q3 2022
154,Others,TOTAL,404438,265434770.8,2022,3,tamil-nadu,Q3 2022
155,Merchant payments,TOTAL,229308285,1.19E+11,2022,4,tamil-nadu,Q4 2022
156,Peer-to-peer payments,TOTAL,162920305,5.27E+11,2022,4,tamil-nadu,Q4 2022
157,Recharge & bill payments,TOTAL,43391904,29719449171,2022,4,tamil-nadu,Q4 2022
158,Financial Services,TOTAL,295740,334812023.6,2022,4,tamil-nadu,Q4 2022
159,Others,TOTAL,400402,275988847.1,2022,4,tamil-nadu,Q4 2022
160,Peer-to-peer payments,TOTAL,1183,8221402.369,2019,1,lakshadweep,Q1 2019
161,Recharge & bill payments,TOTAL,1173,353870.524,2019,1,lakshadweep,Q1 2019
162,Merchant payments,TOTAL,113,183062.1456,2019,1,lakshadweep,Q1 2019
163,Others,TOTAL,12,27795.44122,2019,1,lakshadweep,Q1 2019
164,Recharge & bill payments,TOTAL,1448,436735.1685,2019,2,lakshadweep,Q2 2019
165,Peer-to-peer payments,TOTAL,1318,8602732.118,2019,2,lakshadweep,Q2 2019
166,Merchant payments,TOTAL,137,190716.5412,2019,2,lakshadweep,Q2 2019
167,Others,TOTAL,23,12340.30958,2019,2,lakshadweep,Q2 2019
168,Recharge & bill payments,TOTAL,1528,503049.2412,2019,3,lakshadweep,Q3 2019
169,Peer-to-peer payments,TOTAL,1455,8923273.863,2019,3,lakshadweep,Q3 2019
170,Merchant payments,TOTAL,111,215159.6812,2019,3,lakshadweep,Q3 2019
171,Others,TOTAL,10,10278.67843,2019,3,lakshadweep,Q3 2019
172,Recharge & bill payments,TOTAL,1801,618155.9005,2019,4,lakshadweep,Q4 2019
173,Peer-to-peer payments,TOTAL,1753,10383413.25,2019,4,lakshadweep,Q4 2019
174,Merchant payments,TOTAL,188,211413.6224,2019,4,lakshadweep,Q4 2019
175,Financial Services,TOTAL,2,34.39721182,2019,4,lakshadweep,Q4 2019
176,Others,TOTAL,21,56896.23813,2019,4,lakshadweep,Q4 2019
177,Recharge & bill payments,TOTAL,2684,789255.2646,2020,1,lakshadweep,Q1 2020
178,Peer-to-peer payments,TOTAL,2068,12463327.26,2020,1,lakshadweep,Q1 2020
179,Merchant payments,TOTAL,387,216594.0308,2020,1,lakshadweep,Q1 2020
